code,question,option 1,option 2,option 3,option 4,correct answer
100-GSAT-1,All the new students were given one minute to _____ introduce themselves to the whole class.,briefly,famously,gradually,obviously,briefly
100-GSAT-10,Everyone in the office must attend the meeting tomorrow. There are no _____ allowed.,exceptions,additions,divisions,measures,exceptions
100-GSAT-11,"To make fresh lemonade, cut the lemon in half, _____ the juice into a bowl, and then add as much water and sugar as you like.",decrease,squeeze,freeze,cease,squeeze
100-GSAT-12,"Buddhism is the _____ religion in Thailand, with 90% of the total population identified as Buddhists.",racial,competitive,modest,dominant,dominant
100-GSAT-13,"When I open a book, I look first at the table of _____ to get a general idea of the book and to see which chapters I might be interested in reading.",contracts,contents,contests,contacts,contents
100-GSAT-14,"The children were so _____ to see the clown appear on stage that they laughed, screamed, and clapped their hands happily.",admirable,fearful,delighted,intense,delighted
100-GSAT-15,"Typhoon Maggie brought to I-lan County a huge amount of rainfall, much greater than the _____ rainfall of the season in the area.",average,considerate,promising,enjoyable,average
100-GSAT-2,"His dark brown jacket had holes in the elbows and had _____ to light brown, but he continued to wear it.",cycled,faded,loosened,divided,faded
100-GSAT-3,Everyone in our company enjoys working with Jason. He’s got all the qualities that make a _____ partner.,desirable,comfortable,frequent,hostile,desirable
100-GSAT-4,Eyes are sensitive to light. Looking at the sun _____ could damage our eyes.,hardly,specially,totally,directly,directly
100-GSAT-5,We were forced to _____ our plan for the weekend picnic because of the bad weather.,maintain,record,propose,cancel,cancel
100-GSAT-6,"Three people are running for mayor. All three _____ seem confident that they will be elected, but we won’t know until the outcome of the election is announced.",particles,receivers,candidates,containers,candidates
100-GSAT-7,"If you _____ a traffic law, such as drinking and driving, you may not drive for some time.",destroy,violate,attack,invade,violate
100-GSAT-8,"Applying to college means sending in applications, writing study plans, and so on. It’s a long _____, and it makes students nervous.",errand,operation,process,display,process
100-GSAT-9,Dr. Chu’s speech on the new energy source attracted great _____ from the audience at the conference.,attention,fortune,solution,influence,attention
101-GSAT-1,The ending of the movie did not come as a _____ to John because he had already read the novel that the movie was based on.,vision,focus,surprise,conclusion,surprise
101-GSAT-10,Jack is very proud of his fancy new motorcycle. He has been _____ to all his friends about how cool it looks and how fast it runs.,boasting,proposing,gossiping,confessing,boasting
101-GSAT-11,"The ideas about family have changed _____ in the past twenty years. For example, my grandfather was one of ten children in his family, but I am the only child.",mutually,narrowly,considerably,scarcely,considerably
101-GSAT-12,The chairperson of the meeting asked everyone to speak up instead of _____ their opinions among themselves.,reciting,giggling,murmuring,whistling,murmuring
101-GSAT-13,"Although Mr. Chen is rich, he is a very _____ person and is never willing to spend any money to help those who are in need.",absolute,precise,economic,stingy,stingy
101-GSAT-14,"If you want to know what your dreams mean, now there are websites you can visit to help you _____ them.",overcome,interpret,transfer,revise,interpret
101-GSAT-15,The memory _____ of the new computer has been increased so that more information can be stored.,capacity,occupation,attachment,machinery,capacity
101-GSAT-2,"In order to stay healthy and fit, John exercises _____. He works out twice a week in a gym.",regularly,directly,hardly,gradually,regularly
101-GSAT-3,Traveling is a good way for us to _____ different cultures and broaden our horizons.,assume,explore,occupy,inspire,explore
101-GSAT-4,"The story about Hou-I shooting down nine suns is a well-known Chinese _____, but it may not be a true historical event.",figure,rumor,miracle,legend,legend
101-GSAT-5,"According to recent research, children under the age of 12 are generally not _____ enough to recognize risk and deal with dangerous situations.",diligent,mature,familiar,sincere,mature
101-GSAT-6,Helen let out a sigh of _____ after hearing that her brother was not injured in the accident.,hesitation,relief,sorrow,triumph,relief
101-GSAT-7,"Research suggests that people with outgoing personalities tend to be more _____, often expecting that good things will happen.",efficient,practical,changeable,optimistic,optimistic
101-GSAT-8,No one could beat Paul at running. He has won the running championship _____ for three years.,rapidly,urgently,continuously,temporarily,continuously
101-GSAT-9,"If you fly from Taipei to Tokyo, you’ll be taking an international, rather than a _____ flight.",liberal,domestic,connected,universal,domestic
102-GSAT-1,It rained so hard yesterday that the baseball game had to be _____ until next Saturday.,surrendered,postponed,abandoned,opposed,postponed
102-GSAT-10,"The book is not only informative but also _____, making me laugh and feel relaxed while reading it.",understanding,infecting,entertaining,annoying,entertaining
102-GSAT-11,"After working in front of my computer for the entire day, my neck and shoulders got so _____ that I couldn’t even turn my head.",dense,harsh,stiff,concrete,stiff
102-GSAT-12,Getting a flu shot before the start of flu season gives our body a chance to build up protection against the _____ that could make us sick.,poison,misery,leak,virus,virus
102-GSAT-13,"The kingdom began to _____ after the death of its ruler, and was soon taken over by a neighboring country.",collapse,dismiss,rebel,withdraw,collapse
102-GSAT-14,"Though Kevin failed in last year’s singing contest, he did not feel _____. This year he practiced day and night and finally won first place in the competition.",relieved,suspected,discounted,frustrated,frustrated
102-GSAT-15,"Emma and Joe are looking for a live-in babysitter for their three-year-old twins, one who knows how to cook. _____.",initially,apparently,preferably,considerably,preferably
102-GSAT-2,"As more people rely on the Internet for information, it has _____ newspapers as the most important source of news.",distributed,subtracted,replaced,transferred,replaced
102-GSAT-3,"Having saved enough money, Joy _____ two trips for this summer vacation, one to France and the other to Australia.",booked,observed,enclosed,deposited,booked
102-GSAT-4,"Since I do not fully understand your proposal, I am not in the position to make any _____ on it.",difference,solution,demand,comment,comment
102-GSAT-5,Betty was _____ to accept her friend’s suggestion because she thought she could come up with a better idea herself.,tolerable,sensitive,reluctant,modest,reluctant
102-GSAT-6,The bank tries its best to attract more customers. Its staff members are always available to provide _____ service.,singular,prompt,expensive,probable,prompt
102-GSAT-7,John’s part-time experience at the cafeteria is good _____ for running his own restaurant.,preparation,recognition,formation,calculation,preparation
102-GSAT-8,"Women’s fashions are changing _____: One season they may favor pantsuits, but the next season they may prefer miniskirts.",lately,shortly,relatively,constantly,constantly
102-GSAT-9,"Standing on the seashore, we saw a _____ of seagulls flying over the ocean before they glided down and settled on the water.",pack,flock,herd,school,flock
103-GSAT-1,"Lost and scared, the little dog _____ along the streets, looking for its master.",dismissed,glided,wandered,marched,wandered
103-GSAT-10,Residents are told not to dump all household waste _____ into the trash can; reusable materials should first be sorted out and recycled.,shortly,straight,forward,namely,straight
103-GSAT-11,Kevin had been standing on a ladder trying to reach for a book on the top shelf when he lost his _____ and fell to the ground.,volume,weight,balance,direction,balance
103-GSAT-12,"If student enrollment continues to drop, some programs at the university may be _____ to reduce the operation costs.",relieved,eliminated,projected,accounted,eliminated
103-GSAT-13,People in that remote village feed themselves by hunting and engaging in _____ forms of agriculture. No modern agricultural methods are used.,universal,splendid,primitive,courteous,primitive
103-GSAT-14,The government issued a travel _____ for Taiwanese in response to the outbreak of civil war in Syria.,alert,monument,exit,circulation,alert
103-GSAT-15,The baby panda Yuan Zai at the Taipei Zoo was separated from her mother because of a minor injury that occurred during her birth. She was _____ by zookeepers for a while.,departed,jailed,tended,captured,tended
103-GSAT-2,"On a sunny afternoon last month, we all took off our shoes and walked on the grass with _____ feet.",bare,raw,tough,slippery,bare
103-GSAT-3,It is both legally and ______ wrong to spread rumors about other people on the Internet.,morally,physically,literarily,commercially,morally
103-GSAT-4,These warm-up exercises are designed to help people _____ their muscles and prevent injuries.,produce,connect,broaden,loosen,loosen
103-GSAT-5,Mei-ling has a very close relationship with her parents. She always _____ them before she makes important decisions.,impresses,advises,consults,motivates,consults
103-GSAT-6,"The restaurant has a _____ charge of NT250perperson.SothefourofusneedtopayatleastNT1,000 to eat there.",definite,minimum,flexible,numerous,minimum
103-GSAT-7,"At the Book Fair, exhibitors from 21 countries will ______ textbooks, novels, and comic books.",predict,require,display,target,display
103-GSAT-8,"Before John got on the stage to give the speech, he took a deep ______ to calm himself down.",order,rest,effort,breath,breath
103-GSAT-9,Most young people in Taiwan are not satisfied with a high school _____ and continue to pursue further education in college.,maturity,diploma,foundation,guarantee,diploma
104-GSAT-1,Nowadays many companies adopt a _____ work schedule which allows their employees to decide when to arrive at work—from as early as 6 a.m. to as late as 11 a.m.,relative,severe,primitive,flexible,flexible
104-GSAT-10,The angry passengers argued _____ with the airline staff because their flight was cancelled without any reason.,evidently,furiously,obediently,suspiciously,furiously
104-GSAT-11,"To _____ the new product, the company offered some free samples before they officially launched it.",contribute,impress,promote,estimate,promote
104-GSAT-12,"I was worried about my first overseas trip, but my father _____ me that he would help plan the trip so that nothing would go wrong.",rescued,assured,inspired,conveyed,assured
104-GSAT-13,The recent cooking oil scandals have led to calls for tougher _____ of sales of food products.,tolerance,guarantee,regulation,distribution,regulation
104-GSAT-14,"John should _____ more often with his friends and family after work, instead of staying in his room to play computer games.",explore,interact,negotiate,participate,interact
104-GSAT-15,"To prevent the spread of the Ebola virus from West Africa to the rest of the world, many airports have begun Ebola _____ for passengers from the infected areas.",screenings,listings,clippings,blockings,screenings
104-GSAT-2,"To teach children right from wrong, some parents will _____ their children when they behave well and punish them when they misbehave.",settle,declare,reward,neglect,reward
104-GSAT-3,"To stick to a tight budget, Robert bought a more _____ LED TV instead of a fancy, expensive 3D TV.",technical,significant,affordable,expressive,affordable
104-GSAT-4,David’s new book made it to the best-seller list because of its beautiful _____ and amusing stories.,operations,illustrations,engagements,accomplishments,illustrations
104-GSAT-5,"The airport was closed because of the snowstorm, and our _____ for Paris had to be delayed until the following day.",movement,registration,tendency,departure,departure
104-GSAT-6,"The moment the students felt the earthquake, they ran _____ out of the classroom to an open area outside.",swiftly,nearly,loosely,formally,swiftly
104-GSAT-7,"The _____ capacity of this elevator is 400 kilograms. For safety reasons, it shouldn’t be overloaded.",delicate,automatic,essential,maximum,maximum
